city,year,weekofyear,total_cases
iq,2010,41,0
iq,2010,42,3
iq,2010,43,14
iq,2010,44,6
iq,2010,45,12
iq,2010,46,13
iq,2010,47,9
iq,2010,48,12
iq,2010,49,23
iq,2010,50,15
iq,2010,51,11
iq,2011,52,5
iq,2011,1,22
iq,2011,2,11
iq,2011,3,13
iq,2011,4,13
iq,2011,5,14
iq,2011,6,15
iq,2011,7,10
iq,2011,8,13
iq,2011,9,12
iq,2011,10,15
iq,2011,11,6
iq,2011,12,8
iq,2011,13,10
iq,2011,14,10
iq,2011,15,7
iq,2011,16,6
iq,2011,17,4
iq,2011,18,6
iq,2011,19,7
iq,2011,20,4
iq,2011,21,5
iq,2011,22,4
iq,2011,23,5
iq,2011,24,2
iq,2011,25,5
iq,2011,26,7
iq,2011,27,7
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,4
iq,2011,33,8
iq,2011,34,10
iq,2011,35,5
iq,2011,36,15
iq,2011,37,7
iq,2011,38,3
iq,2011,39,1
iq,2011,40,5
iq,2011,41,10
iq,2011,42,4
iq,2011,43,8
iq,2011,44,5
iq,2011,45,6
iq,2011,46,4
iq,2011,47,6
iq,2011,48,6
iq,2011,49,24
iq,2011,50,10
iq,2011,51,9
iq,2012,52,2
iq,2012,1,6
iq,2012,2,11
iq,2012,3,11
iq,2012,4,27
iq,2012,5,19
iq,2012,6,12
iq,2012,7,15
iq,2012,8,16
iq,2012,9,12
iq,2012,10,7
iq,2012,11,6
iq,2012,12,5
iq,2012,13,8
iq,2012,14,5
iq,2012,15,5
iq,2012,16,5
iq,2012,17,2
iq,2012,18,5
iq,2012,19,5
iq,2012,20,4
iq,2012,21,5
iq,2012,22,3
iq,2012,23,5
iq,2012,24,4
iq,2012,25,3
iq,2012,26,5
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,2
iq,2012,31,11
iq,2012,32,0
iq,2012,33,2
iq,2012,34,0
iq,2012,35,0
iq,2012,36,1
iq,2012,37,2
iq,2012,38,13
iq,2012,39,5
iq,2012,40,0
iq,2012,41,0
iq,2012,42,6
iq,2012,43,18
iq,2012,44,28
iq,2012,45,19
iq,2012,46,25
iq,2012,47,9
iq,2012,48,7
iq,2012,49,14
iq,2012,50,7
iq,2012,51,3
iq,2013,1,11
iq,2013,2,31
iq,2013,3,20
iq,2013,4,14
iq,2013,5,23
iq,2013,6,19
iq,2013,7,13
iq,2013,8,21
iq,2013,9,11
iq,2013,10,6
iq,2013,11,5
iq,2013,12,7
iq,2013,13,9
iq,2013,14,7
iq,2013,15,7
iq,2013,16,3
iq,2013,17,5
iq,2013,18,5
iq,2013,19,10
iq,2013,20,4
iq,2013,21,1
iq,2013,22,3
iq,2013,23,4
iq,2013,24,5
iq,2013,25,6
iq,2013,26,4
